arroyo,n. a stream or brook
repugnant,s offensive to the mind
sated,v fill to satisfaction
undesirable,"n. one whose presence is undesirable
a. not wanted
s. not worthy of being chosen (especially as a spouse)"
scandalize,v strike with disgust or revulsion
unsavory,a. morally offensive
loathsome,"s causing or able to cause nausea
s highly offensive; arousing aversion or disgust"
antagonism,"n. the relation between opposing principles or forces or factors
n. an actively expressed feeling of dislike and hostility
n. (biochemistry) interference in or inhibition of the physiological action of a chemical substance by another having a similar structure"
antipathy,"n. a feeling of intense dislike
n. the object of a feeling of intense aversion; something to be avoided"
disinclination,n. that toward which you are inclined to feel dislike
desideratum,n. something desired as a necessity
entail,"n. land received by fee tail
n. the act of entailing property; the creation of a fee tail from a fee simple
v. have as a logical consequence
v. impose, involve, or imply as a necessary accompaniment or result"
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
pressing,"n. a metal or plastic part that is made by a mechanical press
s. compelling immediate action"
procrustean,a. of or relating to the mythical giant Procrustes or the mode of torture practiced by him
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
requisite,"n anything indispensable
s necessary for relief or supply"
stipulate,"v. specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement
v. give a guarantee or promise of
v. make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force"
importunate,s. expressing earnest entreaty
bivouac,"n temporary living quarters specially built by the army for soldiers
n a site where people on holiday can pitch a tent
v live in or as if in a tent"
camp,"n. temporary living quarters specially built by the army for soldiers
n. a group of people living together in a camp
n. temporary lodgings in the country for travelers or vacationers
n. a penal institution (often for forced labor)"
creep,"n. someone unpleasantly strange or eccentric
n. a slow longitudinal movement or deformation
n. a pen that is fenced so that young animals can enter but adults cannot
v. grow or spread, often in such a way as to cover (a surface)"
displace,"v. cause to move, usually with force or pressure
v. terminate the employment of; discharge from an office or position"
emigrate,v. leave one's country of residence for a new one
inch,n. a unit of length equal to one twelfth of a foot
locomotion,"n. the power or ability to move
n. self-propelled movement"
locomotive,"n. a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks
a. of or relating to locomotion"
migratory,a. used of animals that move seasonally
mobile,"n. a river in southwestern Alabama; flows into Mobile Bay
n. a port in southwestern Alabama on Mobile Bay
n. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents
s. migratory"
motile,"n. one whose prevailing mental imagery takes the form of inner feelings of action
s. (of spores or microorganisms) capable of movement"
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
slither,v. to pass or move unobtrusively or smoothly
transplantation,"n an operation moving an organ from one organism (the donor) to another (the recipient)
n the act of removing something from one location and introducing it in another location"
transpose,"n. a matrix formed by interchanging the rows and columns of a given matrix
v. transfer a quantity from one side of an equation to the other side reversing its sign, in order to maintain equality
v. put (a piece of music) into another key"
winkle,v. remove or displace from a position
bridle,"n. headgear for a horse; includes a headstall and bit and reins to give the rider or driver control
n. the act of restraining power or action or limiting excess
v. anger or take offense
v. put a bridle on"
